Player,Age,Year,playerID,MLS,QO,acceptQO,Salary,leng,catcher,cornerIF,MIF,OF,DHonly,G,PA,wRC+,wSB,BsR,Off,Def,FRM,WAR,Dol,QOAmount,SalaryOverQO
Nick Punto,35,2013,1429,11.051,0,0,1500000,3,0,1,1,0,0,116,335,90,-0.9,2,-1.9,5.9,NA,1.5,11.2,14100000,0
Omar Infante,31,2013,1609,10.12,0,0,4000000,1,0,0,1,0,0,118,476,118,-0.2,-0.4,9.1,2.5,NA,2.9,21.6,14100000,0
Paul Konerko,37,2013,242,15.141,0,0,12501506,1,0,1,0,0,0,126,520,84,-0.5,-7.9,-17.2,-13.2,NA,-1.5,-10.8,14100000,0
Rajai Davis,32,2013,3708,6.167,0,0,2500000,3,0,0,0,1,0,108,360,88,6.4,9.7,5,-5.4,NA,1.2,8.9,14100000,0
Raul Ibanez,41,2013,607,16.02,0,0,2750000,1,0,0,0,1,0,124,496,121,-0.3,-2.9,8.8,-17.8,NA,0.8,5.6,14100000,0
Robinson Cano,30,2013,3269,8.153,1,0,15000000,1,0,0,1,0,0,160,681,143,0.4,-4.5,29.1,3.6,NA,5.9,43.7,14100000,1
Shin-Soo Choo,30,2013,3174,6.119,1,0,7375000,1,0,0,0,1,0,154,712,150,-1.1,2.2,42.4,-4.2,NA,6.4,47.6,14100000,0
Stephen Drew,30,2013,4251,7.079,1,0,9500000,1,0,0,1,0,0,124,501,108,0.8,-0.8,3.8,13.7,NA,3.6,26.9,14100000,0
Wil Nieves,35,2013,1556,6.127,0,0,800000,1,1,0,0,0,0,71,206,86,-0.2,-2,-5.2,0.2,1.8,0.1,0.9,14100000,0
Willie Bloomquist,35,2013,1066,11.029,0,0,1900000,3,0,0,1,1,0,48,150,101,-0.9,-1,-0.9,-0.9,NA,0.3,2.1,14100000,0
Adam LaRoche,34,2014,1904,11,0,0,12000000,1,0,1,0,0,0,140,586,127,0,-5.4,12.4,-11.8,NA,2,15.3,15300000,0
Alberto Callaspo,31,2014,3336,7.135,0,0,4875000,3,0,1,1,0,0,127,451,69,-0.8,-6,-21.3,-4.4,NA,-1.3,-9.6,15300000,0
Billy Butler,28,2014,7399,7.102,0,0,8000000,1,0,1,0,0,0,151,603,96,-0.6,-7.3,-10.2,-13.5,NA,-0.5,-3.9,15300000,0
Clint Barmes,35,2014,1830,9.122,0,0,2000000,2,0,0,1,0,0,48,116,79,-0.3,-0.7,-3.4,2.8,NA,0.3,2.4,15300000,0
Colby Rasmus,27,2014,9893,6,0,0,7000000,1,0,0,0,1,0,104,376,104,0.6,3,4.7,-2.8,NA,1.5,11.4,15300000,0
David Ross,37,2014,1551,12.001,0,0,3100000,1,1,0,0,0,0,50,171,71,-0.5,0.6,-4.9,9.5,7.4,1.1,8.4,15300000,0
Delmon Young,28,2014,2140,8.028,0,0,1000000,1,0,0,0,1,0,83,255,120,0.1,0.1,5.7,-5.5,NA,0.9,6.8,15300000,0
Hanley Ramirez,30,2014,8001,9.014,1,0,16000000,1,0,0,1,0,0,128,512,136,0.4,0.5,21.4,-2.8,NA,3.7,28.4,15300000,1
Ichiro Suzuki,40,2014,1101,14,0,0,6500000,2,0,0,0,1,0,143,385,88,1.5,3.3,-1.9,-0.2,NA,1.1,8.4,15300000,0
Jed Lowrie,30,2014,4418,6.111,0,0,5250000,1,0,0,1,0,0,136,566,95,-0.5,-2.5,-5.9,3.8,NA,1.7,13.1,15300000,0
Mark Reynolds,30,2014,7619,7.138,0,0,2000000,2,0,1,0,0,0,130,433,87,0.3,1,-5.3,1.4,NA,1,7.7,15300000,0
Melky Cabrera,29,2014,4022,8.148,1,0,8000000,1,0,0,0,1,0,139,621,127,-0.2,-3.4,14.9,-6.1,NA,3.1,23.6,15300000,0
Michael Cuddyer,35,2014,1534,11.157,1,0,10500000,3,0,1,0,1,0,49,205,150,0.4,0.5,12,-3.9,NA,1.6,11.9,15300000,0
Michael Morse,32,2014,3035,7.114,0,0,6000000,2,0,1,0,1,0,131,482,132,-0.4,-5.4,11.9,-11.7,NA,1.6,12.3,15300000,0
Nelson Cruz,33,2014,2434,7.082,1,0,8000000,2,0,0,0,1,0,159,678,137,-1.6,-4.8,22.9,-9,NA,3.9,29.4,15300000,0
Nick Markakis,30,2014,5930,9,0,0,15000000,1,0,0,0,1,0,155,710,106,-0.7,-2.4,2.2,-3.3,NA,2.3,17.7,15300000,0
Pablo Sandoval,27,2014,5409,6.047,1,0,8250000,1,0,1,0,0,0,157,638,110,-0.6,-4.6,2.5,7.9,NA,3.2,24.7,15300000,0
Russell Martin,31,2014,4616,8.15,1,0,8500000,1,1,0,0,0,0,111,460,140,-1.3,-4.3,16.5,26.5,11.6,6.2,47.4,15300000,0
Torii Hunter,38,2014,731,15.132,0,0,14000000,1,0,0,0,1,0,142,586,114,-0.8,-3.1,6.2,-14.5,NA,1.1,8.5,15300000,0
Victor Martinez,35,2014,393,11.114,1,0,12000000,1,0,1,0,0,0,151,641,168,-0.8,-7.6,40,-19,-0.3,4.5,34.4,15300000,0
A.J. Pierzynski,38,2015,746,15.1,0,0,2000000,1,1,0,0,0,0,113,436,111,-1,-4.8,0.6,-5.3,-10,0.9,7.4,15800000,0
Alex Avila,28,2015,7476,6.061,0,0,5400000,2,1,1,0,0,0,67,219,82,-0.5,-1.3,-5.9,-6,-7.8,-0.5,-4,15800000,0
Alex Gordon,31,2015,5209,8.092,1,0,12500000,1,0,0,0,1,0,104,422,122,-1.8,-0.7,9.9,2.2,NA,2.7,21.9,15800000,0
Asdrubal Cabrera,29,2015,4962,8.027,0,0,7500000,1,0,0,1,0,0,143,551,104,-0.2,0.3,2.5,4.1,NA,2.6,20.9,15800000,0
Brayan Pena,33,2015,3231,8.081,0,0,1400000,1,1,0,0,0,0,108,367,83,0.2,-2.7,-9.9,-5.2,-6.4,-0.4,-3.3,15800000,0
Chris Davis,29,2015,9272,6.061,1,0,12000000,2,0,1,0,1,0,160,670,149,-1.1,-0.7,37.2,-7.9,NA,5.4,43.5,15800000,0
Chris Iannetta,32,2015,8267,9.013,0,0,5525000,1,1,0,0,0,0,92,317,78,-0.5,-3.5,-11.6,14.7,9.2,1.4,11.4,15800000,0
Colby Rasmus,28,2015,9893,7,1,1,8000000,3,0,0,0,1,0,137,485,118,-0.2,5.1,15.4,-4.2,NA,2.9,23,15800000,0
Daniel Murphy,30,2015,4316,6.109,1,0,8000000,3,0,1,1,0,0,130,538,109,-0.6,-0.5,5.2,-1.4,NA,2.2,17.4,15800000,0
David Freese,32,2015,9549,6.028,0,0,6425000,1,0,1,0,0,0,121,470,108,-0.4,-0.9,3.6,1.6,NA,2.2,17.5,15800000,0
Denard Span,31,2015,8347,7.111,0,0,9000000,1,0,0,0,1,0,61,275,120,2,2.4,8.8,-2.5,NA,1.6,12.6,15800000,0
Dexter Fowler,29,2015,4062,6.168,1,0,9500000,1,0,0,0,1,0,156,690,109,0.9,-0.1,7.5,-0.9,NA,3,23.7,15800000,0
Dioner Navarro,31,2015,3179,9.091,0,0,5000000,1,1,0,0,0,0,54,192,84,-0.1,-1.2,-4.7,0.5,-3.1,0.2,1.7,15800000,0
Geovany Soto,32,2015,3707,8.096,0,0,1500000,1,1,0,0,0,0,78,210,96,-0.5,0.2,-0.7,8.4,3.6,1.6,12.4,15800000,0
Gordon Beckham,28,2015,9015,6.123,0,0,2000000,2,0,1,1,0,0,100,237,66,-0.5,-1,-10.3,5.9,NA,0.4,2.8,15800000,0
Howie Kendrick,31,2015,4229,9.091,1,0,9500000,1,0,0,1,0,0,117,495,109,0.2,2,7.2,-0.1,NA,2.4,19,15800000,0
Ian Desmond,29,2015,6885,6.027,1,0,11000000,1,0,0,1,0,0,156,641,83,0.4,5.5,-7.3,0.8,NA,1.4,11.3,15800000,0
Jason Heyward,25,2015,4940,6,1,0,7800000,2,0,0,0,1,0,154,610,121,3.1,7.2,22.2,11.3,NA,5.6,44.4,15800000,0
Jeff Mathis,32,2015,3448,9.012,0,0,1500000,1,1,0,0,0,0,32,103,32,0,0.5,-7.7,3.5,2.4,-0.1,-0.8,15800000,0
John Jaso,31,2015,5887,6.032,0,0,3175000,1,0,0,0,1,0,70,216,135,-0.7,-4.2,4.5,-5.1,NA,0.7,5.4,15800000,0
Justin Upton,27,2015,5222,8.06,1,0,14500000,1,0,0,0,1,0,150,620,119,1.5,4.9,18.9,-5.9,NA,3.4,27.4,15800000,0
David Murphy,31,2013,6035,6.087,0,0,5775000,1,0,0,0,1,0,142,476,73,-1.7,-3.7,-18.2,-0.9,NA,-0.4,-2.9,14100000,0
Mark Reynolds,31,2015,7619,8.138,0,0,2000000,2,0,1,0,0,0,140,432,98,-1,-3.1,-4.2,-9.7,NA,-0.1,-0.5,15800000,0
Matt Wieters,29,2015,4298,6.129,1,1,8300000,1,1,0,0,0,0,75,282,102,-0.1,-2.1,-1.6,-4.5,-7.1,0.3,2.7,15800000,0
Rajai Davis,34,2015,3708,8.167,0,0,5000000,3,0,0,0,1,0,112,370,100,0.3,1.7,1.8,-4,NA,1,8.4,15800000,0
Sean Rodriguez,30,2015,6589,6.133,0,0,1900000,5,0,1,1,1,0,139,240,77,-0.5,-2,-8.5,-3.4,NA,-0.5,-3.9,15800000,0
Stephen Drew,32,2015,4251,9.038,0,0,5000000,2,0,0,1,0,0,131,428,76,-0.9,-2,-13.9,3.2,NA,0.4,2.9,15800000,0
Steve Pearce,32,2015,9957,6.116,0,0,3700000,4,0,1,1,1,0,92,325,93,-0.3,-0.3,-3.1,-6.4,NA,0.1,1,15800000,0
Adam Lind,32,2016,8027,9.058,0,0,8000000,1,0,1,0,0,0,126,430,93,-0.6,-2.8,-6.2,-13,NA,-0.5,-3.6,17200000,0
Adam Rosales,33,2016,9682,6.163,0,0,800000,3,0,1,1,0,0,105,248,113,0.7,2.9,6.9,2,NA,1.7,13.6,17200000,0
Alex Avila,29,2016,7476,7.061,0,0,2500000,1,1,0,0,0,0,57,209,107,-0.1,-2.2,-0.5,-0.8,-5.4,0.6,4.9,17200000,0
Andres Blanco,32,2016,1907,6.007,0,0,1450000,4,0,1,1,0,0,90,209,93,-0.9,-1.2,-3,0.5,NA,0.4,3.3,17200000,0
Brandon Moss,32,2016,4467,6.16,0,0,8250000,3,0,1,0,1,0,128,464,105,0,0.2,3.2,-5.8,NA,1.2,9.6,17200000,0
Chase Utley,37,2016,1679,13.027,0,0,7000000,1,0,0,1,0,0,138,565,96,-0.7,1.6,-1.4,4.9,NA,2.2,17.3,17200000,0
Chris Heisey,31,2016,3978,6.042,0,0,1250000,2,0,0,0,1,0,83,155,92,-0.5,0.9,-0.7,-3.4,NA,0.1,0.6,17200000,0
Chris Iannetta,33,2016,8267,10.013,0,0,4250000,1,1,0,0,0,0,94,338,78,-0.2,-1,-9.7,-7.6,-15.1,-0.6,-4.6,17200000,0
Colby Rasmus,29,2016,9893,8,0,0,15800000,3,0,0,0,1,0,107,417,77,0.2,0.5,-11,7.7,NA,1.1,9.1,17200000,0
Daniel Descalso,29,2016,8392,6.016,0,0,2100000,4,0,1,1,1,0,99,289,90,0.4,1.8,-1.7,-1.6,NA,0.6,4.6,17200000,0
Dexter Fowler,30,2016,4062,7.168,1,0,8000000,1,0,0,0,1,0,125,551,129,0.6,6.1,25.6,1.9,NA,4.6,36.5,17200000,0
Edwin Encarnacion,33,2016,2151,11.085,1,0,10000000,1,0,1,0,0,0,160,702,136,0,-2.3,28.2,-13.7,NA,4,31.7,17200000,0
Franklin Gutierrez,33,2016,3255,9.011,0,0,1500000,2,0,0,0,1,0,98,283,115,0,0.9,6,-5.9,NA,1,8.1,17200000,0
Ian Desmond,30,2016,6885,7.027,1,0,8000000,2,0,0,0,1,0,156,677,103,1.4,5.6,7.8,2.9,NA,3.5,27.9,17200000,0
Jason Castro,29,2016,8722,6.104,0,0,5000000,1,1,0,0,0,0,113,376,90,-0.2,-3.3,-7.7,23.1,16.1,2.9,23.2,17200000,0
Jeff Mathis,33,2016,3448,10.012,0,0,1500000,1,1,0,0,0,0,41,132,63,-0.1,0.8,-5.2,9.7,7.1,0.9,7,17200000,0
Jon Jay,31,2016,5227,6.134,0,0,6225000,3,0,0,0,1,0,90,373,99,0.2,3.2,2.7,-5.5,NA,0.9,7.3,17200000,0
Jose Bautista,35,2016,1887,11.165,1,0,14000000,1,0,0,0,1,0,116,517,123,-0.7,-5.3,9.2,-12.6,NA,1.5,11.8,17200000,0
Justin Turner,31,2016,5235,6.045,1,0,5100000,1,0,1,0,0,0,151,622,123,0.1,0.2,18,11.1,NA,5,39.6,17200000,0
Kendrys Morales,33,2016,8610,8.17,0,0,9000000,1,0,0,0,0,1,154,618,111,-0.3,-4.4,3.7,-16.7,NA,0.9,6.8,17200000,0
Kurt Suzuki,32,2016,8259,9.113,0,0,6000000,1,1,0,0,0,0,106,373,86,-0.2,-4.4,-10.8,-2,-5.4,0,0,17200000,0
Logan Morrison,28,2016,9205,6.069,0,0,4200000,1,0,1,0,0,0,107,398,100,-0.2,0.2,0.4,-8.8,NA,0.5,4.3,17200000,0
Luis Valbuena,30,2016,4969,6.148,0,0,6125000,2,0,1,0,0,0,90,342,124,-0.4,-0.2,9.8,-0.1,NA,2.2,17.6,17200000,0
Mark Trumbo,30,2016,6876,6.027,1,0,9150000,1,0,0,0,1,0,159,667,125,0.1,-1.4,18.7,-20.5,NA,2.2,17.4,17200000,0
Matt Holliday,36,2016,1873,13,0,0,17000000,2,0,1,0,1,0,110,426,109,-0.2,-1.9,3,-8.4,NA,0.8,6.4,17200000,0
Matt Joyce,31,2016,3353,7.123,0,0,1000000,2,0,0,0,1,0,140,293,136,-0.4,-1,12,-2.9,NA,1.9,14.9,17200000,0
Matt Wieters,30,2016,4298,7.129,0,0,15800000,1,1,0,0,0,0,124,464,90,0,-0.7,-6.4,1.5,-6.7,1.1,9.1,17200000,0
Michael Saunders,29,2016,9981,6.138,0,0,2900000,2,0,0,0,1,0,140,558,119,-0.9,-0.9,11.5,-14.6,NA,1.6,13.2,17200000,0
Mike Napoli,34,2016,3057,10.151,0,0,7000000,1,0,1,0,0,0,150,645,111,0.2,-5.4,3.1,-18,NA,0.7,6,17200000,0
Mitch Moreland,30,2016,3086,6.067,0,0,5700000,1,0,1,0,0,0,147,503,83,0,-2.1,-12.2,-5,NA,0,0.1,17200000,0
Neil Walker,30,2016,7539,6.166,1,1,10550000,1,0,0,1,0,0,113,458,124,-0.1,-1.6,11.7,9.3,NA,3.6,28.9,17200000,0
Nick Hundley,32,2016,3376,8.059,0,0,3150000,1,1,0,0,0,0,83,317,84,-0.2,-1.8,-8,-5.3,-7.2,-0.4,-2.8,17200000,0
Rajai Davis,35,2016,3708,9.167,0,0,5250000,2,0,0,0,1,0,134,495,83,5.9,10,-0.2,-0.4,NA,1.7,13.5,17200000,0
Sean Rodriguez,31,2016,6589,7.133,0,0,2500000,6,0,1,1,1,0,140,342,128,-0.2,-1.2,10.6,-4.7,NA,1.7,13.5,17200000,0
Stephen Drew,33,2016,4251,10.038,0,0,3000000,3,0,1,1,0,0,70,165,123,-0.5,-1.2,3.5,-1.2,NA,0.8,6.1,17200000,0
Skip Schumaker,33,2013,3704,7.051,0,0,1500000,4,0,0,1,1,0,125,356,93,-0.7,-3.3,-6.2,-12.4,NA,-0.9,-6.3,14100000,0
Wilson Ramos,28,2016,1433,6.047,0,0,5350000,1,1,0,0,0,0,131,523,123,-0.3,-6.7,8.1,11,2.6,3.6,28.9,17200000,0
Yoenis Cespedes,30,2016,13110,5,1,0,27328046,2,0,0,0,1,0,132,543,136,-0.1,-0.5,23.4,-3.7,NA,3.7,29.9,17200000,1
Alcides Escobar,30,2017,6310,8.082,0,0,6500000,1,0,0,1,0,0,162,629,61,-2.5,3.5,-26.6,6.4,NA,0.1,1,17400000,0
Austin Jackson,30,2017,9848,8,0,0,1500000,3,0,0,0,1,0,85,318,129,-0.1,0.4,11.9,-4.5,NA,1.8,14.6,17400000,0
Carlos Gomez,31,2017,4881,10.141,0,0,11500000,1,0,0,0,1,0,105,426,105,0.2,2.1,4.8,-0.8,NA,1.8,14.8,17400000,0
Carlos Gonzalez,31,2017,7287,9.059,0,0,20428571,1,0,0,0,1,0,136,534,85,0.3,-0.5,-11,-6.5,NA,0,0,17400000,1
Carlos Santana,31,2017,2396,7.115,1,0,12000000,1,0,1,0,0,0,154,667,115,0.1,0.8,12.9,-7,NA,2.9,22.8,17400000,0
Chase Utley,38,2017,1679,14.027,0,0,2000000,2,0,1,1,0,0,127,353,96,0.6,2.4,0.6,-0.9,NA,1.1,9,17400000,0
Chris Iannetta,34,2017,8267,11.013,0,0,1500000,1,1,0,0,0,0,89,316,120,-0.2,-2.6,5.6,6.8,1.4,2.3,18.1,17400000,0
Chris Stewart,35,2017,3878,7.091,0,0,1400000,1,1,0,0,0,0,51,144,22,-0.1,0.2,-14.2,2.7,-0.4,-0.7,-5.4,17400000,0
Eric Hosmer,27,2017,3516,6.146,1,0,12250000,1,0,1,0,0,0,162,671,135,0.3,1.9,30.6,-12.8,NA,4,32.4,17400000,0
Ichiro Suzuki,43,2017,1101,17,0,0,2000000,3,0,0,0,1,0,136,215,77,-0.4,0.1,-6.3,-1.8,NA,-0.1,-0.8,17400000,0
Jarrod Dyson,32,2017,4866,6.088,0,0,2800000,2,0,0,0,1,0,111,390,86,2.4,5.6,-1.3,9.2,NA,2.1,16.9,17400000,0
Jose Reyes,34,2017,1736,14.052,0,0,22000000,3,0,1,1,0,0,145,561,95,1.9,5.4,1.7,-0.4,NA,2,15.7,17400000,1
Logan Morrison,29,2017,9205,7.069,0,0,2500000,1,0,1,0,0,0,149,601,131,0,0,22.9,-11,NA,3.2,25.8,17400000,0
Lorenzo Cain,31,2017,9077,6.074,1,0,11000000,1,0,0,0,1,0,155,645,115,3.9,3.5,15,5.2,NA,4.2,33.6,17400000,0
Mike Moustakas,28,2017,4892,6.111,1,0,8700000,1,0,1,0,0,0,148,598,113,-0.3,-5.4,4.3,-4.4,NA,2,16.2,17400000,0
Nick Hundley,33,2017,3376,9.059,0,0,2000000,1,1,0,0,0,0,101,303,78,-0.1,-0.9,-9.5,-1,-5.1,-0.1,-0.4,17400000,0
Welington Castillo,30,2017,3256,6.009,0,0,6000000,1,1,0,0,0,0,96,365,112,-0.2,-2.3,3.3,4.5,-6.3,2,16.2,17400000,0
